Municipio,Cidade,Link_Executivo,API_Executivo,Link_Legislativo,API_Legislativo,
Ibatiba,Ibatiba,https://ibatiba-es.portaltp.com.br/,portaltp,https://cmibatiba-es.portaltp.com.br/,portaltp,
Ibiracu,Ibiracu,https://ibiracu-es.portaltp.com.br/,portaltp,http://cmibiracu-es.portaltp.com.br/,portaltp,
Ibitirama,Ibitirama,https://ibitirama-es.portaltp.com.br/,portaltp,http://cmibitirama.transparencia-vdf.com.br/,NT,vdf sistemas
Iconha,Iconha,http://iconha-es.portaltp.com.br/,portaltp,http://cmiconha-es.portaltp.com.br/,portaltp,
Irupi,Irupi,https://irupi-es.portaltp.com.br/,portaltp,https://cmirupi-es.portaltp.com.br/,portaltp,
Itaguacu,Itaguacu,http://itaguacu-es.portaltp.com.br/,portaltp,http://cmitaguacu-es.portaltp.com.br/,portaltp,
Itapemirim,Itapemirim,http://transparencia.itapemirim.es.gov.br/,NT,http://www.itapemirim.es.leg.br/transparencia,agape,
Itarana,Itarana,https://itarana-es.portaltp.com.br/,portaltp,http://www.camaraitarana.es.gov.br/transparencia,agape,
Iúna,Iuna,https://iuna-es.portaltp.com.br/,portaltp,https://cmiuna-es.portaltp.com.br/,portaltp,
Jaguare,Jaguare,http://www.jaguare.es.gov.br/transparencia,agape,https://cmjaguare-es.portaltp.com.br/,portaltp,
Jeronimo Monteiro,Jeronimo_Monteiro,https://jeronimomonteiro-es.portaltp.com.br/,portaltp,http://www.jeronimomonteiro.es.leg.br/transparencia,portalfacil,
João Neiva,Joao_Neiva,https://joaoneiva-es.portaltp.com.br/,portaltp,https://cmjoaoneiva-es.portaltp.com.br/,portaltp,
Laranja da Terra,Laranja_da_Terra,https://laranjadaterra-es.portaltp.com.br/,portaltp,https://cmlaranjadaterra-es.portaltp.com.br/,portaltp,
Linhares,Linhares,https://linhares-es.portaltp.com.br/,portaltp,https://cmlinhares-es.portaltp.com.br/,portaltp,
Mantenópolis,Mantenopolis,https://mantenopolis-es.portaltp.com.br/,portaltp,https://cmmantenopolis-es.portaltp.com.br/,portaltp,
Marataízes,Marataizes,https://www.marataizes.es.gov.br/transparencia,agape,http://www.cmmarataizes.es.gov.br/transparencia,agape,
Marechal Floriano,Marechal_Floriano,http://marechalfloriano-es.portaltp.com.br/,portaltp,http://cmmarechalfloriano-es.portaltp.com.br/,portaltp,
Marilândia,Marila�ndia,https://marilandia-es.portaltp.com.br/,portaltp,https://e-gov.betha.com.br/transparencia/01037-030/recursos.faces,NT,
Mimoso do Sul,Mimoso_do_Sul,http://mimosodosul.es.gov.br/Home/transparencia/,NT,http://www.mimosodosul.es.leg.br/transparencia,portalfacil,
Montanha,Montanha,https://montanha-es.portaltp.com.br/,portaltp,https://cmmontanha-es.portaltp.com.br/,portaltp,
Mucurici,Mucurici,https://mucurici-es.portaltp.com.br/,portaltp,https://cmmucurici-es.portaltp.com.br/,portaltp,
Muniz Freire,Muniz_Freire,https://munizfreire-es.portaltp.com.br/,portaltp,http://www.camaramunizfreire.es.gov.br/transparencia,agape,
Muquí,Muqui,https://muqui-es.portaltp.com.br/,portaltp,https://cmmuqui-es.portaltp.com.br/,portaltp,
Nova Venécia,Nova_Venecia,https://novavenecia-es.portaltp.com.br/,portaltp,http://www.cmnv.es.gov.br/transparencia,agape,
Pancas,Pancas,http://pancas-es.portaltp.com.br/,portaltp,http://cmpancas-es.portaltp.com.br/,portaltp,
Pedro Canário,Pedro_Canario,https://pedrocanario-es.portaltp.com.br/,portaltp,http://cmpedrocanario-es.portaltp.com.br/,portaltp,
Pinheiros,Pinheiros,https://pinheiros-es.portaltp.com.br/,portaltp,https://cmpinheiros-es.portaltp.com.br/,portaltp,
Piúma,Piuma,http://controladoria.piuma.es.gov.br/portal/transparencia,agape,http://transparencia.camarapiuma.es.gov.br/,NT,
PontoBelo,Ponto_Belo,http://pontobelo-es.portaltp.com.br/,portaltp,https://cmpontobelo-es.portaltp.com.br/,portaltp,
Presidente Kennedy,Presidente_Kennedy,https://www.presidentekennedy.es.gov.br/transparencia,agape,http://cmpresidentekennedy-es.portaltp.com.br/,portaltp,
Rio Bananal,Rio_Bananal,https://riobananal-es.portaltp.com.br/,portaltp,http://www.camarariobananal.es.gov.br/transparencia,agape,
Rio Novo do Sul,Rio_Novo_do_Sul,http://rionovodosul-es.portaltp.com.br/,portaltp,https://cmrionovodosul-es.portaltp.com.br/,portaltp,
Santa Leopoldina,Santa_Leopoldina,https://santaleopoldina-es.portaltp.com.br/,portaltp,http://cmsantaleopoldina-es.portaltp.com.br/,portaltp,
Santa Maria de Jetibá,Santa_Maria_de_Jetibá,http://santamariadejetiba-es.portaltp.com.br/,portaltp,https://cmsantamariadejetiba-es.portaltp.com.br/,portaltp,
Santa Teresa,Santa_Teresa,https://www2.santateresa.es.gov.br/transparencia,agape,https://cmsantateresa-es.portaltp.com.br/,portaltp,
São Domingos do Norte,Sao_Domingos_do_Norte,https://www.saodomingosdonorte.es.gov.br/transparencia,agape,https://cmsaodomingosdonorte-es.portaltp.com.br/,portaltp,
São Gabrielda Palha,Sao_Gabrielda_Palha,http://saogabrieldapalha-es.portaltp.com.br/,portaltp,https://cmsaogabrieldapalha-es.portaltp.com.br/,portaltp,
SaoJosedoCalcado,SaoJosedoCalcado,http://saojosedocalcado-es.portaltp.com.br/,portaltp,http://cmsaojosedocalcado.transparencia-vdf.com.br/,NT,vdf sistemas
São Mateus,Sao_Mateus,http://saomateus-es.portaltp.com.br/,portaltp,https://cmsaomateus-es.portaltp.com.br/,portaltp,
São Roquedo Canaa,Sao_Roquedo_Canaa,http://saoroquedocanaa-es.portaltp.com.br/,portaltp,https://cmsaoroquedocanaa-es.portaltp.com.br/,portaltp,
Serra,Serra,http://wstransparencia.serra.es.gov.br/,tectrilha,https://camaraserra.atende.net/?pg=transparencia#!/,NT,
Sooretama,Sooretama,https://www.sooretama.es.gov.br/transparencia,agape,https://cmsooretama-es.portaltp.com.br/,portaltp,
Vargem Alta,Vargem_Alta,https://vargemalta-es.portaltp.com.br/,portaltp,https://cmvargemalta-es.portaltp.com.br/,portaltp,
Venda Nova do Imigrante,Venda_Nova_do_Imigrante,https://vendanovadoimigrante-es.portaltp.com.br/,portaltp,https://cmvendanovadoimigrante-es.portaltp.com.br/,portaltp,
Viana,Viana,https://viana-es.portaltp.com.br/,portaltp,https://cmviana-es.portaltp.com.br/,portaltp,
Vila Pavão,Vila_Pavao,https://vilapavao-es.portaltp.com.br/,portaltp,http://www.camaravilapavao.es.gov.br/transparencia/,agape,
Vila Valério,Vila_Valerio,https://vilavalerio-es.portaltp.com.br/,portaltp,http://cmvilavalerio-es.portaltp.com.br/,portaltp,
Vila Velha,Vila_Velha,http://transparencia.vilavelha.es.gov.br/transparenciaAPI/,tectrilha,http://cmvilavelha-es.portaltp.com.br/,portaltp,
Vitória,Vitoria,http://wstransparencia.vitoria.es.gov.br/,tectrilha,http://www.cmv.es.gov.br/transparencia,agape,
