Municipio,Link_Executivo,API_Executivo,Link_Legislativo,API_Legislativo,
Mantenópolis,https://mantenopolis-es.portaltp.com.br/,portaltp,https://cmmantenopolis-es.portaltp.com.br/,portaltp,
Marataízes,https://www.marataizes.es.gov.br/transparencia,agape,http://www.cmmarataizes.es.gov.br/transparencia,agape,
Marechal Floriano,http://marechalfloriano-es.portaltp.com.br/,portaltp,http://cmmarechalfloriano-es.portaltp.com.br/,portaltp,
Marilândia,https://marilandia-es.portaltp.com.br/,portaltp,https://e-gov.betha.com.br/transparencia/01037-030/recursos.faces,NT,
Mimoso do Sul,http://mimosodosul.es.gov.br/Home/transparencia/,NT,http://www.mimosodosul.es.leg.br/transparencia,portalfacil,
Montanha,https://montanha-es.portaltp.com.br/,portaltp,https://cmmontanha-es.portaltp.com.br/,portaltp,
Mucurici,https://mucurici-es.portaltp.com.br/,portaltp,https://cmmucurici-es.portaltp.com.br/,portaltp,
Muniz Freire,https://munizfreire-es.portaltp.com.br/,portaltp,http://www.camaramunizfreire.es.gov.br/transparencia,agape,
Muquí,https://muqui-es.portaltp.com.br/,portaltp,https://cmmuqui-es.portaltp.com.br/,portaltp,
Nova Venécia,https://novavenecia-es.portaltp.com.br/,portaltp,http://www.cmnv.es.gov.br/transparencia,agape,
Pancas,http://pancas-es.portaltp.com.br/,portaltp,http://cmpancas-es.portaltp.com.br/,portaltp,
Pedro Canário,https://pedrocanario-es.portaltp.com.br/,portaltp,http://cmpedrocanario-es.portaltp.com.br/,portaltp,
Pinheiros,https://pinheiros-es.portaltp.com.br/,portaltp,https://cmpinheiros-es.portaltp.com.br/,portaltp,
Piúma,http://controladoria.piuma.es.gov.br/portal/transparencia,agape,http://transparencia.camarapiuma.es.gov.br/,NT,
PontoBelo,http://pontobelo-es.portaltp.com.br/,portaltp,https://cmpontobelo-es.portaltp.com.br/,portaltp,
Presidente Kennedy,https://www.presidentekennedy.es.gov.br/transparencia,agape,http://cmpresidentekennedy-es.portaltp.com.br/,portaltp,
Rio Bananal,https://riobananal-es.portaltp.com.br/,portaltp,http://www.camarariobananal.es.gov.br/transparencia,agape,
Rio Novo do Sul,http://rionovodosul-es.portaltp.com.br/,portaltp,https://cmrionovodosul-es.portaltp.com.br/,portaltp,
Santa Leopoldina,https://santaleopoldina-es.portaltp.com.br/,portaltp,http://cmsantaleopoldina-es.portaltp.com.br/,portaltp,
Santa Maria de Jetibá,http://santamariadejetiba-es.portaltp.com.br/,portaltp,https://cmsantamariadejetiba-es.portaltp.com.br/,portaltp,
Santa Teresa,https://www2.santateresa.es.gov.br/transparencia,agape,https://cmsantateresa-es.portaltp.com.br/,portaltp,
São Domingos do Norte,https://www.saodomingosdonorte.es.gov.br/transparencia,agape,https://cmsaodomingosdonorte-es.portaltp.com.br/,portaltp,
São Gabrielda Palha,http://saogabrieldapalha-es.portaltp.com.br/,portaltp,https://cmsaogabrieldapalha-es.portaltp.com.br/,portaltp,
SaoJosedoCalcado,http://saojosedocalcado-es.portaltp.com.br/,portaltp,http://cmsaojosedocalcado.transparencia-vdf.com.br/,NT,vdf sistemas
São Mateus,http://saomateus-es.portaltp.com.br/,portaltp,https://cmsaomateus-es.portaltp.com.br/,portaltp,
São Roquedo Canaa,http://saoroquedocanaa-es.portaltp.com.br/,portaltp,https://cmsaoroquedocanaa-es.portaltp.com.br/,portaltp,
Serra,http://wstransparencia.serra.es.gov.br/,tectrilha,https://camaraserra.atende.net/?pg=transparencia#!/,NT,
Sooretama,https://www.sooretama.es.gov.br/transparencia,agape,https://cmsooretama-es.portaltp.com.br/,portaltp,
Vargem Alta,https://vargemalta-es.portaltp.com.br/,portaltp,https://cmvargemalta-es.portaltp.com.br/,portaltp,
Venda Nova do Imigrante,https://vendanovadoimigrante-es.portaltp.com.br/,portaltp,https://cmvendanovadoimigrante-es.portaltp.com.br/,portaltp,
Viana,https://viana-es.portaltp.com.br/,portaltp,https://cmviana-es.portaltp.com.br/,portaltp,
Vila Pavão,https://vilapavao-es.portaltp.com.br/,portaltp,http://www.camaravilapavao.es.gov.br/transparencia/,agape,
Vila Valério,https://vilavalerio-es.portaltp.com.br/,portaltp,http://cmvilavalerio-es.portaltp.com.br/,portaltp,
Vila Velha,http://transparencia.vilavelha.es.gov.br/transparenciaAPI/,tectrilha,http://cmvilavelha-es.portaltp.com.br/,portaltp,
Vitória,http://wstransparencia.vitoria.es.gov.br/,tectrilha,http://www.cmv.es.gov.br/transparencia,agape,
